step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
64,0.03314450106699951,0.045882864722183773,0.17885786294937134,1e-06,0.15042114399809436,100.11631932295859,71.45268571097404,6.655282964929938,233.9103561558295,812295,434.0845641411311,23107.5,30593,0.03125,24.46875,0.53125,1
65,0.02901313579059206,0.037890006409725174,0.1860734522342682,1e-06,0.15010958434026542,286.3819327419624,85.26732086390257,3.564400321105495,375.63907467597164,959250,319.20600939460786,27699.46875,30608,0.03125,26.125,0,0
66,0.028289089823374525,0.03657721834523337,0.15004420280456543,1e-06,0.15295262169324217,190.3054649690166,74.66622555092908,3.9917687128763646,269.0517421520781,860142,399.61737151371784,24625.46875,30583,0.03125,24.0625,0.34375,1
67,0.02992086243466474,0.04133424547811349,0.1832781434059143,1e-06,0.15037050066471827,142.25645439792424,77.16861140890978,4.951213791966438,224.47301044198684,873775,486.5701884825368,25010.90625,30574,0.0625,24.53125,0.34375,1
68,0.0268930135644041,0.03685462030892571,0.15757325291633606,1e-06,0.15084289998207803,162.277799641015,80.54949616803788,8.248016196070239,251.1636564040091,912695,454.2332144443926,26244.46875,30593,0.03125,23.71875,0.25,1
69,0.032322115963324904,0.04264021879062056,0.18950915336608887,1e-06,0.1504191923106588,144.2477718719747,78.03729273099452,4.3511089601088315,226.72611306793988,883490,487.0910037914649,25330.375,30570,0.03125,26.59375,0.1875,1
70,0.03029673104174435,0.040325396911551556,0.19974620640277863,1e-06,0.15089182203000276,180.27282585017383,79.66870378586464,5.197404409991577,265.22326220409013,904040,426.07499455700946,25970.15625,30606,0.03125,26.96875,0.1875,1
71,0.030511233548168093,0.04293881659395993,0.21418242156505585,1e-06,0.15033848207460054,156.24060494382866,82.50521878711879,6.9561346240807325,245.7897629570216,930200,473.06689506158017,26788.03125,30600,0.03125,25,0.125,1
72,0.030007836205186322,0.037604968674713746,0.1704290360212326,1e-06,0.15037094884506028,162.25551612884738,84.07376140193082,7.600563521962613,254.02479632105678,948410,466.69164474071846,27380.5625,30604,0.03125,27.15625,0.09375,1
73,0.03448054031468928,0.04583003491695438,0.21269826591014862,1e-06,0.15065000165710662,154.23635820904747,77.14689825591631,6.318876778939739,237.79162728390656,874717,459.8127623284908,25006.8125,30576,0.03125,27.28125,0.34375,1
74,0.028787908871890977,0.0363320025925835,0.1691809445619583,1e-06,0.15151749924281038,180.27936660405248,81.0642483360134,5.868378754938021,267.3059213149827,921595,430.9645459153657,26547,30611,0.03125,25.03125,0.125,1
75,0.03231569315539673,0.04423094394927223,0.23043939471244812,1e-06,0.14875178870954736,138.25715023302473,78.2585753959138,5.725939302938059,222.33520625997335,876749,492.92069773175626,25105.5625,30594,0.03125,27.0625,0.28125,1
76,0.040956054523121566,0.051094179827487096,0.24202363193035126,1e-06,0.12714222540886583,190.28233831794932,96.09047316596843,4.875498875975609,291.33884579106234,919403,394.47322820253197,26432.6875,30568,0.03125,30.4375,0.125,1
77,0.03515859955223277,0.04531376231461763,0.20972171425819397,1e-06,0.15048860110842843,144.2284769390244,79.40562963788398,3.404637396102771,227.12435225606896,899144,494.85226433704344,25823.21875,30570,0.03125,29.90625,0.21875,1
78,0.03596200636820868,0.04938785263026754,0.24275289475917816,1e-06,0.15138885349779077,192.29211294092238,79.15868863393553,7.605447314213961,279.14869604981504,901630,403.74091512821406,25848.9375,30577,0.03125,29.625,0.25,1
79,0.04048199375392869,0.051693391345907,0.23964005708694458,1e-06,0.14978369028992738,150.23269197996706,81.34634217107669,4.399841109989211,236.0632740200963,916293,485.19459655655453,26363.96875,30584,0.03125,29.875,0.34375,1
80,0.035088934178929776,0.0473445076495409,0.21149267256259918,1e-06,0.15152313628045036,180.49866389483213,80.85989368800074,5.960508231073618,267.42835387797095,919652,429.8590569512135,26479.5,30615,0.03125,28.28125,0.25,1
81,0.039442045090254396,0.04815628447880348,0.1984260380268097,1e-06,0.15160763274856345,146.22552083083428,74.11742085497826,4.971691434970126,225.40047167404555,847497,469.995134496422,24169,30584,0.03125,29,0.21875,1
82,0.04368329263525084,0.05225919894874096,0.23285481333732605,1e-06,0.14914127667641902,194.32149351295084,75.11659327009693,5.802839396055788,275.33505119918846,846829,384.45386644006044,24174.5625,30606,0.03125,32.1875,0.125,1
83,0.048126381589099765,0.05865361978067085,0.23713168501853943,1e-06,0.1496690169112487,178.2613805308938,80.39520699391142,3.977056006900966,262.71971905906685,905923,431.0311209435343,26022.03125,30609,0.03125,31.71875,0.21875,1
84,0.0374528527026996,0.04976082895882428,0.20280499756336212,1e-06,0.1510747079921493,190.27715129591525,80.00560154905543,6.153426548000425,276.52228785306215,909345,411.0631583534443,26137.3125,30581,0.03125,30.375,0.125,1
85,0.040146764484234154,0.04927816279232502,0.22634607553482056,1e-06,0.1513495434439649,156.24547432688996,76.16164131299593,3.3881290769204497,235.88573060184717,868633,460.3039137762483,24861.03125,30572,0.03125,31.65625,0.1875,1
86,0.03774538397556171,0.04606196340173483,0.2245863676071167,1e-06,0.15050213937555348,208.27976345992647,80.25471588899381,4.441167016047984,293.0450924830511,907700,387.18443990513964,26085.5,30572,0.03125,30.125,0.15625,1
87,0.03572555450955406,0.04682314730598591,0.2113492339849472,1e-06,0.14908400314150194,146.24619539594278,81.28155109914951,4.34946714900434,231.96237482503057,911687,491.2903443326134,26202.125,30565,0.03125,32.21875,0.125,1
88,0.044929310330189764,0.05431576759244005,0.23903781175613403,1e-06,0.150722467548726,210.29625649680384,77.65981446998194,4.112927199108526,292.15011398494244,880740,376.8353826679466,25263.28125,30594,0.03125,31.5,0.21875,1
89,0.048058222157123964,0.058039017487317324,0.272007554769516,1e-06,0.14944992670836926,152.23662502411753,73.23529396788217,4.27330641518347,229.82544786599465,826171,449.346997727662,23548.9375,30570,0.03125,31.4375,0.25,1
90,0.03668049309635535,0.047193505422910675,0.19536982476711273,1e-06,0.12724521534655256,212.3034800409805,96.92631865409203,3.8974643901456147,313.20982755115256,926094,369.59807712640855,26668.375,30581,0.03125,28.90625,0.1875,1
91,0.042236675100866705,0.04973756615072489,0.22123393416404724,1e-06,0.15304912128036624,122.23822473501787,81.25797799904831,3.206849010195583,206.8028027850669,932397,563.5785561433212,26850.125,30582,0.03125,31.3125,0.21875,1
92,0.042314836697187275,0.047195092278222245,0.2648369073867798,1e-06,0.15000752091427963,218.3368915040046,81.89826452103443,6.542863039067015,306.86974636116065,922464,375.7555163626065,26528.125,30611,0.03125,31,0.125,1
93,0.03956166817806661,0.04897459677886218,0.22155003249645233,1e-06,0.1504784788302566,552.7409837979358,82.33241621521302,3.385158214950934,638.5366554378998,930066,182.06981386255998,26787.4375,30588,0.03125,33.4375,0,0
94,0.037756544290459715,0.0467554344504606,0.22119876742362976,1e-06,0.15005559270122765,214.30208976217546,86.83381574694067,6.758969343965873,307.98116520093754,974987,395.71697483670994,28192.78125,30593,0.03125,31.84375,0.03125,1
95,0.04400496341986582,0.05144255391011635,0.381438285112381,1e-06,0.1509188631869788,186.26330911414698,80.95001873886213,3.8643634349573404,271.15016614994965,917119,422.7910925807902,26391.25,30583,0.03125,30.03125,0.125,1
96,0.04089579725405201,0.05241199670126662,0.21406157314777374,1e-06,0.14988818675789137,160.45645964611322,86.95871571195312,3.252039676066488,250.796220760094,974345,485.62583850298347,28175.625,30578,0.03125,28.78125,0.1875,1
97,0.04076364648062736,0.054109559611727795,0.23861324787139893,1e-06,0.15245777339848207,172.24867767700925,79.62600331706926,9.76341077289544,261.71825418109074,911768,435.47210857191504,26212.6875,30577,0.03125,28,0.3125,1
98,0.043281069316435605,0.05344252809882164,0.28616490960121155,1e-06,0.15020431635210138,150.2821896900423,81.36869115405716,5.880992778809741,237.60799079202116,917192,482.5132337420106,26416.4375,30593,0.03125,33.1875,0.1875,1
99,0.05297024923493154,0.06341616067220457,0.28460535407066345,1e-06,0.09083044924163822,206.30124768381938,126.27919721417129,5.160764034138992,337.8197255830746,865439,320.22959823699534,24759.78125,30563,0.0625,34.875,0.1875,1
100,0.04015693240216933,0.05011215293779969,0.22388078272342682,1e-06,0.15097563586408658,140.2380183439236,83.17393228504807,4.675935562932864,228.17143100197427,942106,516.1174187445976,27151.875,30570,0.03125,31.4375,0.375,1
101,0.04654222808312625,0.054283831951518854,0.25539717078208923,1e-06,0.15080238892059095,174.28565869899467,80.73544312198646,8.027981505962089,263.1399972450454,914785,434.55242911443423,26322.71875,30609,0.03125,34.1875,0.21875,1
102,0.03771972208051011,0.04657206377014518,0.2362527698278427,1e-06,0.1510258090069838,198.27314176410437,84.24692131811753,3.920726602897048,286.51751817483455,952430,415.51996805777424,27461,30593,0.03125,30.65625,0.15625,1
103,0.045537961123045534,0.053590858791721985,0.2535878121852875,1e-06,0.1510870418450046,154.2449314140249,83.61729831504636,6.936515687964857,244.8912106298376,942924,481.2973879171115,27166.3125,30578,0.03125,33.1875,0.09375,1
104,0.040735282585956156,0.04703913660099109,0.2335934340953827,1e-06,0.1512643328652587,210.30932376696728,80.8373425679747,5.361288503045216,296.5950738149695,917785,386.8005072517485,26381.96875,30562,0.03125,31.1875,0.1875,1
105,0.045451640093233436,0.0568146844743751,0.274051696062088,1e-06,0.14973857325297973,322.38979169214144,84.35822184104472,3.774208430899307,410.60634966311045,946968,288.2834132913913,27333.03125,30606,0.03125,34.53125,0,0
106,0.04139771847985685,0.0482611577026546,0.2238691747188568,1e-06,0.15241767471386863,238.32564707496203,81.71263211104088,11.39678638591431,331.51158569101244,933962,352.1603920920374,26906.15625,30566,0.03125,30.875,0.15625,1
107,0.04696460085688159,0.0544313150147597,0.25447577238082886,1e-06,0.14991559278843283,346.433284153929,81.7475589569658,3.753311550943181,432.01473241415806,919589,266.07570616319305,26464.125,30572,0.03125,30.78125,0,0
108,0.05304175615310669,0.06103005638578907,0.29226964712142944,1e-06,0.15076113102059474,168.25561658898368,84.43719612783752,4.447636083001271,257.2271499300841,953588,463.3978179690552,27507.0625,30623,0.03125,36.40625,0.1875,1
109,0.0493271354935132,0.05589477342242996,0.2640440762042999,1e-06,0.15210101129768136,230.32744727795944,83.11313814902678,8.999308458995074,322.53021161002107,947086,367.05321157058927,27320.09375,30608,0.03125,35.59375,0.125,1
110,0.05100543284788728,0.05934327511737744,0.26589033007621765,1e-06,0.15056862704641205,392.5021647431422,79.3415682760533,7.236922862939537,479.1604678099975,898366,234.35937967346854,25765.1875,30582,0.03125,29.5625,0,0
111,0.052064008137676865,0.06180453335400671,0.26399508118629456,1e-06,0.15006881462568067,422.5713541540317,83.17408930789679,4.242515508085489,510.0712747029029,936536,229.51106209262045,27009.0625,30594,0.03125,34.09375,0.03125,1
112,0.053137836628593504,0.06196620911359787,0.27631035447120667,1e-06,0.15101011474343584,180.5161956420634,79.8384525750298,9.615881253033876,270.0847084589768,904824,418.7686176138299,25984.71875,30553,0.03125,30.65625,0.1875,1
113,0.05576416989788413,0.06149366998579353,0.27906930446624756,1e-06,0.15020039052391704,176.2543055061251,85.09731717105024,7.450924942968413,268.8820962749887,957710,445.2276728665765,27652.5625,30587,0.03125,30.5625,0.09375,1
114,0.04580861626891419,0.055591097833322625,0.2544831931591034,1e-06,0.15102760173798432,170.25585978408344,75.9474576311186,10.360980441095307,256.64453771919943,863663,420.6513645660331,24693.78125,30577,0.03125,30.09375,0.28125,1
115,0.042167041305219755,0.05062785855261609,0.24462983012199402,1e-06,0.15115787733312347,178.29458701889962,86.56098074885085,6.020971931051463,270.97167889401317,978744,451.49736865251066,28309.5,30574,0.03125,34.25,0.09375,1
116,0.047559774277033284,0.058370137587189674,0.2599739134311676,1e-06,0.1508260743951307,196.2802082488779,83.47288118000142,4.348994224099442,284.18774338485673,944373,415.38253407409354,27236.28125,30604,0.03125,29.0625,0.15625,1
117,0.05913485412020236,0.06600071489810944,0.33247560262680054,1e-06,0.1498632622461756,180.25601401994936,83.28411765699275,11.468993905931711,275.08644041605294,935846,425.2508768628258,26951.59375,30606,0.03125,36.59375,0.15625,1
118,0.054340721922926605,0.06377751299490532,0.299071341753006,1e-06,0.1503874632290327,214.292722501792,75.95741334510967,3.3502155588939786,293.680361822946,860956,366.4511284717146,24635.4375,30611,0.03125,33.8125,0.28125,1
119,0.05258502915967256,0.05934176078687112,0.26947763562202454,1e-06,0.15152380186177125,540.6429705070332,79.81110869604163,11.57983194803819,632.1123450000305,908991,179.75265931563877,26133.21875,30584,0.03125,33.5,0,0
120,0.048544262535870075,0.05678880866616964,0.2664942443370819,1e-06,0.15115664322593364,226.30194885097444,86.33269371395,10.222865415038541,322.9439455529209,976626,378.01684063463887,28253.90625,30587,0.03125,32.25,0,0
121,0.044119143625721335,0.05070673685986549,0.23570378124713898,1e-06,0.15002039680991358,224.3161535768304,88.92664083698764,3.8523036220576614,317.1864677160047,996851,392.84896325264185,28875.84375,30583,0.03125,30.46875,0.0625,1
122,0.04659861041000113,0.05275859454025825,0.262498676776886,1e-06,0.15237783151309955,282.36628780094907,81.24795783008449,8.904591569909826,372.6006873459555,928528,311.5023775901788,26736.5625,30566,0.03125,29.75,0,0
