step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
61,0.02429567277431488,0.03183439074200578,0.18018552660942078,1e-06,0.1531063960662005,128.45253398362547,85.77183595206589,6.970035538077354,221.2702259151265,982284,554.9119837166764,28419.15625,30581,0.03125,30.125,0.125,1
62,0.025158106058370322,0.03177914346257846,0.1913481205701828,1e-06,0.1519948094343779,132.22313120309263,79.96699561271816,11.012497401796281,223.28792720288038,911534,510.29068802484795,26166.65625,30588,0.03125,36.875,0.25,1
63,0.02692829817533493,0.02952993125654757,0.16822604835033417,1e-06,0.15142185217757476,132.20805761497468,90.39550029113889,3.2129494128748775,225.8963718181476,1021023,564.9841738172923,29631.34375,30571,0.03125,26.0625,0.03125,1
64,0.02683668292593211,0.0396889494440984,0.16884011030197144,1e-06,0.1526013853716359,128.1500271493569,86.57030684966594,7.427628546953201,278.90702312160283,986354,442.06219198088814,28546.84375,30596,0.03125,26.75,0.21875,1
65,0.02433024754282087,0.029033259925199673,0.3242966830730438,1e-06,0.0989909898371367,262.3375775255263,136.09975702874362,10.707927140407264,410.52042034920305,1006699,306.5313411034665,29182.25,30608,0.03125,28.71875,0,0
66,0.02562172718171496,0.03152132540708408,0.15594467520713806,1e-06,0.14972085852771258,84.16698072943836,83.06881741248071,3.7135946601629257,171.03067732509226,933003,681.8974047464037,26902.375,30583,0.03125,35.6875,0.375,1
67,0.02853750842041336,0.03532248435658403,0.15590360760688782,1e-06,0.1508173301061792,204.29678160790354,86.22927433811128,6.958423196338117,297.58139847405255,972767,408.61383011009167,28104.40625,30609,0.03125,32.84375,0.15625,1
68,0.027426122105680406,0.03438580362126231,0.18774549663066864,1e-06,0.15204898898380198,198.27697924897075,84.21770966984332,10.033564799465239,292.6098047886044,959519,409.8969789705113,27707.71875,30593,0.03125,37.71875,0.0625,1
69,0.031872634164756164,0.03772556211333722,0.18828563392162323,1e-06,0.15154473004770036,144.2132754093036,84.59606933873147,4.8179726684466,233.7074826946482,960280,513.6121386272958,27730.0625,30570,0.03125,32.25,0.09375,1
70,0.02534405211918056,0.03266438186983578,0.1639629453420639,1e-06,0.15136427612408312,130.2127387430519,84.8262364435941,3.935075195506215,219.05628707725555,960773,548.2455062229965,27743.0625,30606,0.03125,29.03125,0.125,1
71,0.029786701197735965,0.036717573850182816,0.1768898069858551,1e-06,0.1500965804949014,200.2832319168374,86.70327446889132,10.524350330233574,297.59393595997244,973236,408.7936120323467,28132.90625,30600,0.03125,30.65625,0.125,1
72,0.02870625606738031,0.03637247742153704,0.5121282339096069,1e-06,0.13174541900974984,132.21944229584187,102.44454024452716,5.204715454019606,239.95622141007334,1007095,524.6243429749027,29214.46875,30605,0.03125,36.09375,0.0625,1
73,0.03294544236268848,0.04071420139322678,0.19729003310203552,1e-06,0.15109173052009484,182.28077496401966,82.15425196569413,3.3275403967127204,267.845804403536,930766,434.37585389507797,26758.34375,30581,0.03125,31.15625,0.3125,1
74,0.027419475140050054,0.03875296135083772,0.16333870589733124,1e-06,0.15029633118181943,182.27432127296925,87.81284179445356,6.313888305798173,276.4854976898059,986072,445.806384168064,28561.90625,30594,0.03125,29.34375,0.09375,1
75,0.030527085269568488,0.03517648080014624,0.19315291941165924,1e-06,0.1525945452947616,130.2150355949998,83.8014605967328,9.089728571474552,223.19151419121772,958354,536.7329955805002,27655.71875,30568,0.03125,37.6875,0.0625,1
76,0.033431385818403214,0.04304799786768854,0.21598584949970245,1e-06,0.15040903800409616,352.44609626289457,83.68536294717342,3.392822640016675,439.6115484563634,943550,268.29083633981764,27187.28125,30552,0.03125,31.4375,0.1875,1
77,0.03526581038022414,0.04077918635448441,0.1937931627035141,1e-06,0.15222727009715975,132.21497649513185,85.60026574879885,9.543950162827969,227.44182798359543,975833,536.3091128901668,28219.75,30563,0.03125,34.71875,0.09375,1
78,0.03929440351203084,0.04576798260677606,0.22375378012657166,1e-06,0.14992090842658773,228.31100917980075,86.23061409406364,13.821857742965221,328.4417485650629,967571,368.24300055765,27909.59375,30577,0.03125,37.46875,0.0625,1
79,0.03906874230597168,0.04464185953838751,0.23085461556911469,1e-06,0.1517938488763871,198.27249486930668,86.55256095714867,12.1675169672817,297.07913932576776,983194,413.69195521073766,28454.625,30584,0.03125,41.03125,0.09375,1
